Year,Gender,Race/ Ethnicity,Education Attainment,Units,Value
2018,,,,Percentage by Gender,50.8
2018,Male,,,Percentage by Gender,51.3
2018,Female,,,Percentage by Gender,50.2
2018,,,,Percentage by Race/Ethnicity,50.8
2018,,Latino,,Percentage by Race/Ethnicity,46
2018,,White,,Percentage by Race/Ethnicity,55.2
2018,,African American,,Percentage by Race/Ethnicity,59.4
2018,,Asian,,Percentage by Race/Ethnicity,39.4
2018,,,,Percentage by Education Attainment,50.8
2018,,,Less than high school,Percentage by Education Attainment,47.6
2018,,,High school,Percentage by Education Attainment,41.3
2018,,,Some college or trade school,Percentage by Education Attainment,54.7
2018,,,College or post graduate degree,Percentage by Education Attainment,56.7
