Year,Gender,Units,Value
2018,,median earnings,34655
2018,male,median earnings,37072
2018,female,median earnings,31125
2018,,women's earnings as a percentage of men's earnings,84
2017,,median earnings,32300
2017,male,median earnings,35793
2017,female,median earnings,30259
2017,,women's earnings as a percentage of men's earnings,84.5
2016,,median earnings,30837
2016,male,median earnings,32142
2016,female,median earnings,27479
2016,,women's earnings as a percentage of men's earnings,85.5
2015,,median earnings,30361
2015,male,median earnings,31744
2015,female,median earnings,26919
2015,,women's earnings as a percentage of men's earnings,84.8
